# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,CHRUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2020-10-08T13:00:00+00:00Z
# t0_final_iso,2020-10-08T13:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,bd909ad509b22718
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-10-08T23:00:00+00:00Z,2020-10-08T23:59:59.999000+00:00Z,0.02557,0.02571,0.02522,0.0255,196546.9,4981.780991,60,63438.5,1607.672247
2020-10-09T00:00:00+00:00Z,2020-10-09T00:59:59.999000+00:00Z,0.02549,0.0255,0.02527,0.0253,234860.7,5952.3996,47,32940.5,837.604855
2020-10-09T01:00:00+00:00Z,2020-10-09T01:59:59.999000+00:00Z,0.02538,0.02564,0.0253,0.02564,245603.0,6242.021215,44,147478.9,3746.662527
2020-10-09T02:00:00+00:00Z,2020-10-09T02:59:59.999000+00:00Z,0.02545,0.02567,0.02545,0.02554,46292.4,1182.956672,18,34378.4,879.308332
2020-10-09T03:00:00+00:00Z,2020-10-09T03:59:59.999000+00:00Z,0.0255,0.02569,0.0255,0.0256,66997.2,1715.467152,21,20237.1,516.753127
2020-10-09T04:00:00+00:00Z,2020-10-09T04:59:59.999000+00:00Z,0.02562,0.02563,0.02532,0.02547,32627.1,831.933129,25,21770.7,555.274443
2020-10-09T05:00:00+00:00Z,2020-10-09T05:59:59.999000+00:00Z,0.02543,0.02567,0.02531,0.02548,186055.7,4735.788764,41,107313.6,2734.718902
2020-10-09T06:00:00+00:00Z,2020-10-09T06:59:59.999000+00:00Z,0.02532,0.02555,0.02507,0.02507,633486.4,15991.55332,129,187749.8,4767.313371
2020-10-09T07:00:00+00:00Z,2020-10-09T07:59:59.999000+00:00Z,0.02508,0.02533,0.02508,0.02528,180370.6,4553.6991,53,120363.5,3037.238501
2020-10-09T08:00:00+00:00Z,2020-10-09T08:59:59.999000+00:00Z,0.02528,0.02549,0.02528,0.02549,222963.1,5647.807529,37,134236.8,3402.951127
2020-10-09T09:00:00+00:00Z,2020-10-09T09:59:59.999000+00:00Z,0.02545,0.02545,0.02526,0.02537,400552.9,10157.004921,81,109287.5,2778.85706
2020-10-09T10:00:00+00:00Z,2020-10-09T10:59:59.999000+00:00Z,0.02543,0.02627,0.02543,0.026,1021293.3,26382.369728,201,690392.2,17808.412794
2020-10-09T11:00:00+00:00Z,2020-10-09T11:59:59.999000+00:00Z,0.02593,0.02662,0.02589,0.02606,809036.6,21350.29787,162,269439.8,7106.338716
2020-10-09T12:00:00+00:00Z,2020-10-09T12:59:59.999000+00:00Z,0.02605,0.02662,0.02592,0.02627,1275322.4,33472.655979,153,533803.0,14030.278531
2020-10-09T13:00:00+00:00Z,2020-10-09T13:59:59.999000+00:00Z,0.02626,0.0267,0.0262,0.02669,530630.4,14044.969286,85,412374.3,10924.036789
2020-10-09T14:00:00+00:00Z,2020-10-09T14:59:59.999000+00:00Z,0.02668,0.0269,0.02658,0.02663,372929.6,9941.586719,102,171258.6,4572.491591
2020-10-09T15:00:00+00:00Z,2020-10-09T15:59:59.999000+00:00Z,0.02663,0.02705,0.0266,0.02704,531454.4,14288.165503,108,440541.5,11855.1259
2020-10-09T16:00:00+00:00Z,2020-10-09T16:59:59.999000+00:00Z,0.02711,0.02713,0.02676,0.02696,608345.9,16354.076077,114,191107.2,5145.487287
2020-10-09T17:00:00+00:00Z,2020-10-09T17:59:59.999000+00:00Z,0.02683,0.02713,0.02683,0.02712,208422.4,5627.834508,70,178134.2,4808.082499
2020-10-09T18:00:00+00:00Z,2020-10-09T18:59:59.999000+00:00Z,0.02715,0.02723,0.02646,0.02646,684656.0,18291.755692,141,155731.8,4190.205777
2020-10-09T19:00:00+00:00Z,2020-10-09T19:59:59.999000+00:00Z,0.02646,0.02667,0.02618,0.02654,622695.7,16475.591388,148,278320.5,7367.268923
2020-10-09T20:00:00+00:00Z,2020-10-09T20:59:59.999000+00:00Z,0.02658,0.02682,0.02654,0.02681,182393.6,4881.159582,34,84353.4,2259.088535
2020-10-09T21:00:00+00:00Z,2020-10-09T21:59:59.999000+00:00Z,0.02681,0.02709,0.02637,0.02686,499878.3,13363.086888,99,209086.9,5593.440078
2020-10-09T22:00:00+00:00Z,2020-10-09T22:59:59.999000+00:00Z,0.02691,0.02736,0.02687,0.02719,102563.1,2789.594107,55,54345.3,1481.125408
2020-10-09T23:00:00+00:00Z,2020-10-09T23:59:59.999000+00:00Z,0.02737,0.0275,0.02722,0.02743,952704.0,26063.801569,129,852614.4,23330.954381
2020-10-10T00:00:00+00:00Z,2020-10-10T00:59:59.999000+00:00Z,0.02764,0.02773,0.02718,0.02722,338476.9,9284.475292,86,213625.8,5860.91224
2020-10-10T01:00:00+00:00Z,2020-10-10T01:59:59.999000+00:00Z,0.02734,0.02734,0.02716,0.02733,129058.0,3520.932926,37,62495.1,1708.380791
2020-10-10T02:00:00+00:00Z,2020-10-10T02:59:59.999000+00:00Z,0.02733,0.02794,0.02723,0.02777,809974.1,22331.718904,154,464729.7,12797.590907
2020-10-10T03:00:00+00:00Z,2020-10-10T03:59:59.999000+00:00Z,0.0278,0.02809,0.02761,0.02809,360960.9,10090.415974,80,292340.9,8181.238705
2020-10-10T04:00:00+00:00Z,2020-10-10T04:59:59.999000+00:00Z,0.02809,0.02838,0.02769,0.02773,2186884.0,61164.489564,237,1281864.2,35762.640381
2020-10-10T05:00:00+00:00Z,2020-10-10T05:59:59.999000+00:00Z,0.0277,0.02792,0.02707,0.02731,496311.6,13615.086036,114,74248.9,2056.288607
2020-10-10T06:00:00+00:00Z,2020-10-10T06:59:59.999000+00:00Z,0.0271,0.02745,0.02709,0.02722,389631.8,10632.836651,91,108244.8,2954.559349
2020-10-10T07:00:00+00:00Z,2020-10-10T07:59:59.999000+00:00Z,0.02723,0.02743,0.02721,0.02729,148455.3,4044.765736,29,35072.7,954.859289
2020-10-10T08:00:00+00:00Z,2020-10-10T08:59:59.999000+00:00Z,0.02728,0.02745,0.0272,0.02743,85086.2,2326.809173,40,77556.0,2121.090212
2020-10-10T09:00:00+00:00Z,2020-10-10T09:59:59.999000+00:00Z,0.02743,0.02745,0.02676,0.02677,558645.9,15126.087518,161,79184.5,2144.964422
2020-10-10T10:00:00+00:00Z,2020-10-10T10:59:59.999000+00:00Z,0.02678,0.02678,0.02604,0.02657,598769.6,15804.684347,110,243074.6,6414.133171
2020-10-10T11:00:00+00:00Z,2020-10-10T11:59:59.999000+00:00Z,0.02659,0.02686,0.02632,0.0265,740503.5,19681.997567,101,339902.8,9054.842465
2020-10-10T12:00:00+00:00Z,2020-10-10T12:59:59.999000+00:00Z,0.02655,0.02688,0.02613,0.0268,413013.7,10961.299264,101,236982.5,6295.225322
2020-10-10T13:00:00+00:00Z,2020-10-10T13:59:59.999000+00:00Z,0.02677,0.02714,0.02665,0.02709,143432.1,3864.016809,65,106739.8,2881.398365
2020-10-10T14:00:00+00:00Z,2020-10-10T14:59:59.999000+00:00Z,0.02728,0.02741,0.02711,0.02721,138991.2,3780.243902,48,47762.6,1299.51085
2020-10-10T15:00:00+00:00Z,2020-10-10T15:59:59.999000+00:00Z,0.02726,0.02813,0.02726,0.02788,1501690.7,41824.664647,322,652792.5,18163.852422
2020-10-10T16:00:00+00:00Z,2020-10-10T16:59:59.999000+00:00Z,0.02788,0.02816,0.02739,0.02773,1203003.5,33408.85651,190,305545.5,8520.14987
2020-10-10T17:00:00+00:00Z,2020-10-10T17:59:59.999000+00:00Z,0.02775,0.02811,0.02774,0.02794,216452.0,6047.586556,70,93945.5,2620.021667
2020-10-10T18:00:00+00:00Z,2020-10-10T18:59:59.999000+00:00Z,0.02802,0.02824,0.028,0.02811,135664.5,3821.998023,81,74934.4,2111.647176
2020-10-10T19:00:00+00:00Z,2020-10-10T19:59:59.999000+00:00Z,0.02811,0.0288,0.02811,0.02815,748805.0,21288.686535,176,357867.8,10183.323307
2020-10-10T20:00:00+00:00Z,2020-10-10T20:59:59.999000+00:00Z,0.02816,0.02844,0.0281,0.02813,225803.1,6388.238403,102,134484.3,3810.007671
2020-10-10T21:00:00+00:00Z,2020-10-10T21:59:59.999000+00:00Z,0.02817,0.02846,0.028,0.02812,263559.2,7415.248226,103,120493.9,3393.904365
2020-10-10T22:00:00+00:00Z,2020-10-10T22:59:59.999000+00:00Z,0.02816,0.0287,0.02791,0.02853,419853.7,11975.001641,93,133823.4,3811.604175
2020-10-10T23:00:00+00:00Z,2020-10-10T23:59:59.999000+00:00Z,0.02853,0.02871,0.02764,0.02779,553529.6,15559.515224,144,266222.2,7445.622538
2020-10-11T00:00:00+00:00Z,2020-10-11T00:59:59.999000+00:00Z,0.02775,0.02779,0.02738,0.02742,560834.6,15484.630485,97,371283.2,10271.574938
2020-10-11T01:00:00+00:00Z,2020-10-11T01:59:59.999000+00:00Z,0.02763,0.02779,0.02754,0.0277,81685.2,2263.633454,41,74270.1,2058.370379
2020-10-11T02:00:00+00:00Z,2020-10-11T02:59:59.999000+00:00Z,0.02766,0.02778,0.02754,0.02765,83994.2,2316.112486,35,20592.0,568.376975
2020-10-11T03:00:00+00:00Z,2020-10-11T03:59:59.999000+00:00Z,0.02765,0.02765,0.0272,0.02749,152812.9,4176.717357,48,6909.7,190.024643
2020-10-11T04:00:00+00:00Z,2020-10-11T04:59:59.999000+00:00Z,0.02749,0.02749,0.02718,0.0273,77653.7,2119.968608,47,34023.0,929.125021
2020-10-11T05:00:00+00:00Z,2020-10-11T05:59:59.999000+00:00Z,0.0273,0.02735,0.02729,0.02733,37200.0,1016.053062,32,32917.1,899.084151
2020-10-11T06:00:00+00:00Z,2020-10-11T06:59:59.999000+00:00Z,0.02734,0.02749,0.0273,0.0274,142792.2,3903.636834,61,29382.7,804.330402
2020-10-11T07:00:00+00:00Z,2020-10-11T07:59:59.999000+00:00Z,0.0274,0.02805,0.0274,0.02788,230854.2,6393.020177,77,121537.6,3355.762996
2020-10-11T08:00:00+00:00Z,2020-10-11T08:59:59.999000+00:00Z,0.02789,0.0284,0.02789,0.02824,308605.7,8711.42921,149,99878.2,2817.804687
2020-10-11T09:00:00+00:00Z,2020-10-11T09:59:59.999000+00:00Z,0.02829,0.0285,0.02803,0.02823,321168.7,9099.929982,117,165337.2,4688.984626
2020-10-11T10:00:00+00:00Z,2020-10-11T10:59:59.999000+00:00Z,0.02811,0.02842,0.028,0.02817,178660.2,5033.316717,82,79640.7,2246.294583
2020-10-11T11:00:00+00:00Z,2020-10-11T11:59:59.999000+00:00Z,0.02834,0.02847,0.02814,0.02826,304916.3,8637.634825,119,51356.1,1455.627013
2020-10-11T12:00:00+00:00Z,2020-10-11T12:59:59.999000+00:00Z,0.02818,0.02847,0.0279,0.0282,383641.7,10763.240138,92,188826.2,5309.614203
